title,url,view,extra,eps
Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,https://animevietsub.show/phim/okinawa-de-suki-ni-natta-ko-ga-hougen-sugite-tsurasugiru-a5507/,"Lượt xem: 319,882",9.5,HOÀNTẤT
Kết Hôn Với Người Mà Tôi Ghét Nhất,https://animevietsub.show/phim/class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta-a5529/,"Lượt xem: 3,078,986",7.2,HOÀNTẤT
Sorairo Utility (TV),https://animevietsub.show/phim/sorairo-utility-tv-a5550/,"Lượt xem: 63,412",9.5,HOÀNTẤT
Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,https://animevietsub.show/phim/rurouni-kenshin-meiji-kenkaku-romantan-kyoto-douran-a5435/,"Lượt xem: 476,564",9.1,HOÀNTẤT
Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,https://animevietsub.show/phim/salaryman-ga-isekai-ni-ittara-shitennou-ni-natta-hanashi-a5517/,"Lượt xem: 985,875",9.2,HOÀNTẤT
Behemoth Hạng S Bị Nhầm Là Mèo Và Trở Thành Hiệp Sĩ (Thú Cưng) Của Nàng Elf,https://animevietsub.show/phim/s-rank-monster-no-behemoth-dakedo-neko-to-machigawarete-elf-musume-no-pet-toshite-kurashitemasu-a5522/,"Lượt xem: 667,021",5.3,HOÀNTẤT
Dragon Ball Daima,https://animevietsub.show/phim/dragon-ball-daima-a5430/,"Lượt xem: 9,479,913",9.4,HOÀNTẤT
Neko ni Naritai Tamagawa-kun,https://animevietsub.show/phim/neko-ni-naritai-tamagawa-kun-a5561/,"Lượt xem: 71,460",6.3,HOÀNTẤT
Fairy Tail: Nhiệm Vụ 100 Năm,https://animevietsub.show/phim/fairy-tail-100-nen-quest-a5268/,"Lượt xem: 6,220,142",9.6,HOÀNTẤT
Kabushikigaisha Magi-Lumière,https://animevietsub.show/phim/kabushikigaisha-magi-lumiere-a5456/,"Lượt xem: 147,442",8.8,HOÀNTẤT
Kamonohashi Ron no Kindan Suiri 2nd Season,https://animevietsub.show/phim/kamonohashi-ron-no-kindan-suiri-2nd-season-a5429/,"Lượt xem: 565,872",9.5,HOÀNTẤT
Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,https://animevietsub.show/phim/yarinaoshi-reijou-wa-ryuutei-heika-wo-kouryakuchuu-a5417/,"Lượt xem: 2,211,195",9.5,HOÀNTẤT
Rekishi ni Nokoru Akujo ni Naru zo,https://animevietsub.show/phim/rekishi-ni-nokoru-akujo-ni-naru-zo-a5411/,"Lượt xem: 1,676,194",9.2,HOÀNTẤT
5-toubun no Hanayome*,https://animevietsub.show/phim/5-toubun-no-hanayome-a5530/,"Lượt xem: 424,037",9.7,
Puniru wa Kawaii Slime,https://animevietsub.show/phim/puniru-wa-kawaii-slime-a5469/,"Lượt xem: 85,383",9.3,HOÀNTẤT
"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season",https://animevietsub.show/phim/tensei-kizoku-kantei-skill-de-nariagaru-2nd-season-a5407/,"Lượt xem: 1,669,848",7.4,HOÀNTẤT
Em Là Nàng Hầu Gái,https://animevietsub.show/phim/kimi-wa-meido-sama-a5390/,"Lượt xem: 2,217,734",9.7,HOÀNTẤT
Ranma ½ (2024),https://animevietsub.show/phim/ranma-2024-a5465/,"Lượt xem: 999,723",9.6,HOÀNTẤT
Goukon ni Ittara Onna ga Inakatta Hanashi,https://animevietsub.show/phim/goukon-ni-ittara-onna-ga-inakatta-hanashi-a5460/,"Lượt xem: 702,998",9.5,HOÀNTẤT
Dandadan,https://animevietsub.show/phim/dandadan-i9-a5406/,"Lượt xem: 7,035,343",9.7,HOÀNTẤT
NegaPosi Angler,https://animevietsub.show/phim/negaposi-angler-a5458/,"Lượt xem: 264,456",9.3,HOÀNTẤT
Tôi Là Thoại Thuật Sư Hỗ Trợ Cực Ác Dẫn Dắt Gia Tộc Mạnh Nhất Thế Giới,https://animevietsub.show/phim/saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-clan-wo-shitagaeru-a5427/,"Lượt xem: 2,902,859",8.9,HOÀNTẤT
Vợ Tôi Trở Thành Học Sinh Tiểu Học,https://animevietsub.show/phim/tsuma-shougakusei-ni-naru-a5434/,"Lượt xem: 797,601",9.6,HOÀNTẤT
Sự Quyến Rũ Của 2.5D,https://animevietsub.show/phim/25-jigen-no-ririsa-a5318/,"Lượt xem: 5,632,042",9.6,HOÀNTẤT
Hành Trình Cô Độc Nơi Dị Giới,https://animevietsub.show/phim/hitoribocchi-no-isekai-kouryaku-a5408/,"Lượt xem: 3,333,992",9.1,HOÀNTẤT
Acro Trip,https://animevietsub.show/phim/acro-trip-a5454/,"Lượt xem: 175,087",8.6,HOÀNTẤT
Elf-san wa Yaserarenai.,https://animevietsub.show/phim/elf-san-wa-yaserarenai-a5303/,"Lượt xem: 401,868",6.1,HOÀNTẤT
Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn,https://animevietsub.show/phim/meitantei-conan-movie-28-sekigan-no-flashback-a5538/,"Lượt xem: 493,963",8.5,
Thám Tử Lừng Danh Conan: Ngôi Sao 5 Cánh 1 Triệu Đô,https://animevietsub.show/phim/tham-tu-lung-danh-conan-ngoi-sao-5-canh-1-trieu-do-a5372/,"Lượt xem: 2,249,472",9.4,
Mermaid Melody Pichi Pichi Pitch Pure,https://animevietsub.show/phim/mermaid-melody-pichi-pichi-pitch-pure-a5421/,"Lượt xem: 58,016",6.9,TẬP18
Murai no Koi,https://animevietsub.show/phim/murai-no-koi-a5436/,"Lượt xem: 130,391",8.5,HOÀNTẤT
Sát Thủ Lưỡi Kéo Mùa 5,https://animevietsub.show/phim/sat-thu-luoi-keo-mua-5-a5492/,"Lượt xem: 1,150,062",8.5,HOÀNTẤT
Haikyu!! Movie: Trận Chiến Bãi Phế Liệu,https://animevietsub.show/phim/haikyu-movie-tran-chien-bai-phe-lieu-a5354/,"Lượt xem: 1,803,689",9.7,
Houkago Shounen Hanako-kun,https://animevietsub.show/phim/houkago-shounen-hanako-kun-a5056/,"Lượt xem: 479,454",9.6,HOÀNTẤT
Rồng Cỏ Bị Mang Tiếng Ác Mùa 2,https://animevietsub.show/phim/rong-co-bi-mang-tieng-ac-mua-2-a5477/,"Lượt xem: 105,486",8.2,TẬP05
Vẻ Đẹp Đích Thực,https://animevietsub.show/phim/ve-dep-dich-thuc-a5402/,"Lượt xem: 317,948",7.9,TẬP06
Còn Ra Thể Thống Gì Nữa?,https://animevietsub.show/phim/con-ra-the-thong-gi-nua-i3-a5339/,"Lượt xem: 1,075,577",8.5,TẬP24
Monogatari Series: Off & Monster Season,https://animevietsub.show/phim/monogatari-series-off-monster-season-a5356/,"Lượt xem: 617,448",9.5,TẬP14
Kiratto Pri☆chan Season 2,https://animevietsub.show/phim/kiratto-prichan-season-2-a5483/,"Lượt xem: 70,100",7.8,HOÀNTẤT
Bảy Viên Ngọc Rồng Heroes,https://animevietsub.show/phim/bay-vien-ngoc-rong-heroes-a3290/,"Lượt xem: 4,298,564",7.8,HOÀNTẤT
Học Viện Anh Hùng Mùa 7,https://animevietsub.show/phim/boku-no-hero-academia-7th-season-a5190/,"Lượt xem: 14,138,553",9.3,HOÀNTẤT
Yozakura-san Chi no Daisakusen 2nd Season,https://animevietsub.show/phim/yozakura-san-chi-no-daisakusen-2nd-season-a5475/,"Lượt xem: 354,580",9.4,
Yozakura-san Chi no Daisakusen,https://animevietsub.show/phim/yozakura-san-chi-no-daisakusen-a5196/,"Lượt xem: 10,397,986",9.7,HOÀNTẤT
Mahou Shoujo ni Akogarete 2nd Season,https://animevietsub.show/phim/mahou-shoujo-ni-akogarete-ss2-a5464/,"Lượt xem: 298,215",9.6,
Tsukuyomi: Moon Phase,https://animevietsub.show/phim/tsukuyomi-moon-phase-a4988/,"Lượt xem: 124,574",9.2,TẬP16
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san 2nd Season,https://animevietsub.show/phim/tokidoki-bosotto-russia-go-de-dereru-tonari-no-alya-san-2nd-season-a5457/,"Lượt xem: 392,063",7.5,
Không Bỏ Cuộc,https://animevietsub.show/phim/khong-bo-cuoc-a5363/,"Lượt xem: 185,840",7.7,TẬP15
Make Heroine ga Oosugiru!,https://animevietsub.show/phim/make-heroine-ga-oosugiru-a5308/,"Lượt xem: 5,707,456",9.3,HOÀNTẤT
